DOMAIN,FUNCTION_NAME
Market Risk,Monte Carlo VaR (Parametric Normal)
Market Risk,Historical Simulation VaR
Market Risk,Filtered Historical Simulation VaR
Market Risk,Parametric Delta-Normal VaR
Market Risk,Cornish-Fisher VaR
Market Risk,Component VaR (Euler Allocation)
Market Risk,Marginal VaR
Market Risk,Incremental VaR
Market Risk,VaR by Risk Factor
Market Risk,VaR Fan Chart (Percentile Bands)
Market Risk,Conditional VaR (CVaR / ES)
Market Risk,Historical Expected Shortfall
Market Risk,Monte Carlo Expected Shortfall
Market Risk,CVaR Decomposition (Euler)
Market Risk,Stressed Expected Shortfall (FRTB)
Market Risk,Liquidity-Adjusted ES (FRTB LAH)
Market Risk,ES at Multiple Confidence Levels
Market Risk,Expected Shortfall Contribution
Market Risk,Historical Scenario Replay
Market Risk,Hypothetical Multi-Factor Scenario
Market Risk,Reverse Stress Testing
Market Risk,Sensitivity Stress Profile
Market Risk,Sector Stress Scenario
Market Risk,Macro Scenario Generator
Market Risk,Contagion Stress Scenario
Market Risk,Portfolio Delta (Aggregated)
Market Risk,Gamma and Cross-Gamma Matrix
Market Risk,Vega Surface (Bucketed)
Market Risk,DV01 / PV01 (Tenor Bucketed)
Market Risk,CS01 Credit Spread DV01
Market Risk,Rho (Interest Rate Sensitivity)
Market Risk,Theta (Time Decay)
Market Risk,Charm (Delta Decay)
Market Risk,Volga (Vega Convexity)
Market Risk,Vanna (Delta-Vega Cross)
Market Risk,Greeks-based P&L Explain
Market Risk,P&L Attribution Test (FRTB PAT)
Market Risk,Theta / Carry Attribution
Market Risk,Gamma P&L Attribution
Market Risk,Vega P&L Attribution
Market Risk,FX P&L Attribution
Market Risk,Rates P&L Attribution
Market Risk,Credit P&L Attribution
Market Risk,Residual P&L (Unexplained)
Market Risk,Traffic Light Backtesting (Basel)
Market Risk,Kupiec Proportion of Failures Test
Market Risk,Christoffersen Independence Test
Market Risk,Combined Backtesting (Kupiec + Christoffersen)
Market Risk,Basel Capital Add-On Multiplier
Market Risk,Rolling VaR Backtest (250-day)
Market Risk,VaR Breach Cluster Analysis
Market Risk,Volatility Surface (Implied Vol)
Market Risk,"GARCH(1,1) Volatility Forecast"
